GEO_ID,NAME,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,,total
id,Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,,total pop over 25
0500000US51001,"Accomack County, Virginia",1559,2801,8633,4019,1919,2647,1929,19147,4576,,23507
0500000US51003,"Albemarle County, Virginia",2202,3587,11493,11708,3732,20761,19454,67148,40215,,72937
0500000US51005,"Alleghany County, Virginia",482,1090,4530,2303,1135,1021,667,9656,1688,,11228
0500000US51007,"Amelia County, Virginia",623,874,3787,1845,563,1014,577,7786,1591,,9283
0500000US51009,"Amherst County, Virginia",1201,2063,8176,4503,2441,2924,1415,19459,4339,,22723
0500000US51011,"Appomattox County, Virginia",504,1063,3766,2382,1080,1528,791,9547,2319,,11114
0500000US51013,"Arlington County, Virginia",6206,3588,13487,13405,6041,60599,69653,163185,130252,,172979
0500000US51015,"Augusta County, Virginia",2144,4818,21353,10376,3892,8166,4360,48147,12526,,55109
0500000US51017,"Bath County, Virginia",121,184,1350,740,253,355,145,2843,500,,3148
0500000US51019,"Bedford County, Virginia",1835,3820,17138,12372,4968,9867,6691,51036,16558,,56691
0500000US51021,"Bland County, Virginia",220,345,2098,1054,527,520,181,4380,701,,4945
0500000US51023,"Botetourt County, Virginia",835,940,7919,5071,2804,4206,2737,22737,6943,,24512
0500000US51025,"Brunswick County, Virginia",544,2100,4473,2842,676,1005,665,9661,1670,,12305
0500000US51027,"Buchanan County, Virginia",2056,2839,5739,2769,1036,1102,822,11468,1924,,16363
0500000US51029,"Buckingham County, Virginia",1003,1553,5422,2346,768,932,650,10118,1582,,12674
0500000US51031,"Campbell County, Virginia",1811,3307,12812,9643,3326,5986,2959,34726,8945,,39844
0500000US51033,"Caroline County, Virginia",753,2289,7685,4070,1526,2689,1364,17334,4053,,20376
0500000US51035,"Carroll County, Virginia",1797,2473,7999,4300,2327,2377,963,17966,3340,,22236
0500000US51036,"Charles City County, Virginia",286,821,2092,1047,410,525,278,4352,803,,5459
0500000US51037,"Charlotte County, Virginia",587,832,3415,1890,807,604,314,7030,918,,8449
0500000US51041,"Chesterfield County, Virginia",7538,10175,54442,46410,18972,57956,35551,213331,93507,,231044
0500000US51043,"Clarke County, Virginia",501,630,3067,1864,964,1796,1536,9227,3332,,10358
0500000US51045,"Craig County, Virginia",202,144,1416,669,451,612,280,3428,892,,3774
0500000US51047,"Culpeper County, Virginia",1576,3196,10712,7337,2681,5436,3408,29574,8844,,34346
0500000US51049,"Cumberland County, Virginia",514,658,2710,1582,584,518,539,5933,1057,,7105
0500000US51051,"Dickenson County, Virginia",1166,1286,4181,2157,895,798,367,8398,1165,,10850
0500000US51053,"Dinwiddie County, Virginia",1204,2249,7382,4013,1830,2506,1317,17048,3823,,20501
0500000US51057,"Essex County, Virginia",366,1028,2973,1763,383,1001,369,6489,1370,,7883
0500000US51059,"Fairfax County, Virginia",32538,26127,99809,98206,43218,242401,237762,721396,480163,,780061
0500000US51061,"Fauquier County, Virginia",1286,2324,12768,10061,4143,11222,6265,44459,17487,,48069
0500000US51063,"Floyd County, Virginia",796,711,4146,2326,1073,1541,1026,10112,2567,,11619
0500000US51065,"Fluvanna County, Virginia",427,1293,4651,4719,1651,3619,2925,17565,6544,,19285
0500000US51067,"Franklin County, Virginia",1973,2877,14250,8669,4133,5520,3400,35972,8920,,40822
0500000US51069,"Frederick County, Virginia",2414,4042,19325,11736,5303,9687,7177,53228,16864,,59684
0500000US51071,"Giles County, Virginia",465,875,4686,2999,885,1429,764,10763,2193,,12103
0500000US51073,"Gloucester County, Virginia",845,1976,8762,6737,2431,3762,2538,24230,6300,,27051
0500000US51075,"Goochland County, Virginia",556,919,4083,3183,1226,4413,2746,15651,7159,,17126
0500000US51077,"Grayson County, Virginia",845,1405,4468,2392,1242,1147,502,9751,1649,,12001
0500000US51079,"Greene County, Virginia",807,1081,3873,2939,915,1973,1962,11662,3935,,13550
0500000US51081,"Greensville County, Virginia",572,1382,3630,1838,568,540,265,6841,805,,8795
0500000US51083,"Halifax County, Virginia",1739,2872,8938,5084,2391,2559,1276,20248,3835,,24859
0500000US51085,"Hanover County, Virginia",1287,3731,18615,14419,5938,18980,10062,68014,29042,,73032
0500000US51087,"Henrico County, Virginia",6319,12438,48174,44427,16385,59750,39471,208207,99221,,226964
0500000US51089,"Henry County, Virginia",3032,4505,12957,7931,4138,3433,1835,30294,5268,,37831
0500000US51091,"Highland County, Virginia",95,120,725,437,74,252,170,1658,422,,1873
0500000US51093,"Isle of Wight County, Virginia",951,2231,7345,5899,2752,4132,2975,23103,7107,,26285
0500000US51095,"James City County, Virginia",889,1783,9674,9988,4662,15076,12350,51750,27426,,54422
0500000US51097,"King and Queen County, Virginia",180,440,1938,1019,411,877,357,4602,1234,,5222
0500000US51099,"King George County, Virginia",347,825,4607,3830,1508,3811,2435,16191,6246,,17363
0500000US51101,"King William County, Virginia",399,513,3944,3042,1188,1756,661,10591,2417,,11503
0500000US51103,"Lancaster County, Virginia",309,520,2646,1812,617,1408,1309,7792,2717,,8621
