OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,GlobalID
1,AMME,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,American Memorial Park,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,611358.474609375,7740.97386474495,79037b52-9d9c-4f8c-b65b-70b810814fb0
2,CEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/CEBE/Metadata/cebe_metadata.xml,Cedar Creek and Belle Grove National Historical Park,2005/04/07 00:00:00+00,VA,NE,1985663,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048148,Cedar Creek & Belle Grove,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:01.879+00,RJohnson@nps.gov_nps,23282831.5390625,53250.8576465389,dfdc7906-209d-42e5-95e8-5a0377ca9b06
3,LIBI,Lands - http://landsnet.nps.gov/tractsnet/documents/LIBI/Metadata/libi_metadata.xml,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048009,Little Bighorn Battlefield,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:11.281+00,RJohnson@nps.gov_nps,6437512.984375,19524.5801080656,a3affc26-f98a-417d-aa5b-41cfb4988cc8
4,CAVO,Lands - http://landsnet.nps.gov/tractsnet/documents/CAVO/Metadata/cavo_metadata.xml,Capulin Volcano National Monument,2004/07/22 00:00:00+00,NM,IM,936867,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047927,Capulin Volcano,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:19.168+00,RJohnson@nps.gov_nps,4997144.046875,10529.5707720333,646548c2-c5b8-4298-a6b2-a82b5977581e
5,FOBO,Lands - http://landsnet.nps.gov/tractsnet/documents/FOBO/Metadata/fobo_metadata.xml,Fort Bowie National Historic Site,2004/05/12 00:00:00+00,AZ,IM,1888916,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047958,Fort Bowie,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:27.033+00,RJohnson@nps.gov_nps,5650398.53125,18638.5569499672,a19874b5-9d2e-409b-ba2a-8b52f4649602
6,GICL,Lands - http://landsnet.nps.gov/tractsnet/documents/GICL/Metadata/gicl_metadata.xml,Gila Cliff Dwellings National Monument,2004/05/10 00:00:00+00,NM,IM,928945,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047972,Gila Cliff Dwellings,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:41.505+00,RJohnson@nps.gov_nps,3510361.4921875,9337.71218036693,b6074c39-ddb2-4d1c-9586-ebeea1f33df1
7,TUZI,Lands - http://landsnet.nps.gov/tractsnet/documents/TUZI/Metadata/tuzi_metadata.xml,Tuzigoot National Monument,2003/11/21 00:00:00+00,AZ,IM,35601,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048056,Tuzigoot,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:06:49.106+00,RJohnson@nps.gov_nps,4885591.984375,10780.4089191679,cc72b322-ec1a-4e8b-8798-c8b7c74209f3
9,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2004/11/03 00:00:00+00,VA,NC,1888974,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048198,Wolf Trap NP for the Performing Arts,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:07:07.360+00,RJohnson@nps.gov_nps,897748.40234375,5957.31398817052,60c2c1bc-0961-435e-9267-20a28a6c3e70
10,CASA,Lands - http://landsnet.nps.gov/tractsnet/documents/CASA/Metadata/casa_metadata.xml,Castillo de San Marcos National Monument,2005/02/28 00:00:00+00,FL,SE,307911,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047924,Castillo de San Marcos,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:07:12.841+00,RJohnson@nps.gov_nps,108299.662109375,1675.85988734123,07fb5fab-0243-4bf3-8f65-e72c061cd354
11,TICA,Lands - http://landsnet.nps.gov/tractsnet/documents/TICA/Metadata/tica_metadata.xml,Timpanogos Cave National Monument,2005/04/14 00:00:00+00,UT,IM,1446610,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239937,Timpanogos Cave,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:07:20.666+00,RJohnson@nps.gov_nps,1747594.62890625,5287.85951081143,aa172ba0-249c-4fcf-afe5-6d97f8600f3d
12,THIS,Lands - http://landsnet.nps.gov/tractsnet/documents/THIS/Metadata/this_metadata.xml,Theodore Roosevelt Island National Memorial,2005/05/31 00:00:00+00,DC,NC,2733420,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048191,Theodore Roosevelt Island,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:07:28.719+00,RJohnson@nps.gov_nps,670314.10546875,4107.77819004777,9b5d2cbe-299a-4e1a-afa0-239c3735e53f
16,GREE,Lands - http://landsnet.nps.gov/tractsnet/documents/GREE/Metadata/gree_metadata.xml,Greenbelt Park,2005/08/31 00:00:00+00,MD,NC,597496,Other Designation,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048160,Greenbelt,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:03.175+00,RJohnson@nps.gov_nps,7707060.3671875,22476.1916554738,6d166e78-fad8-4eaf-bda4-8acecb116fe5
17,TUPE,Lands - http://landsnet.nps.gov/tractsnet/documents/TUPE/Metadata/tupe_metadata.xml,Tupelo National Battlefield,2005/10/13 00:00:00+00,MS,SE,1888969,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048055,Tupelo,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:10.750+00,RJohnson@nps.gov_nps,5930.8046875,308.348236176063,b3f0f23e-38b2-4226-8343-18d2f9df9021
18,BRCR,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCR/Metadata/brcr_metadata.xml,Brices Cross Roads National Battlefield Site,2005/10/13 00:00:00+00,MS,SE,667556,National Battlefield Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047914,Brices Cross Roads,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:19.744+00,RJohnson@nps.gov_nps,5930.15625,342.165377207013,63b109c8-9a06-4bf6-a34a-105f70c9339a
19,PORE,Lands - http://landsnet.nps.gov/tractsnet/documents/PORE/Metadata/pore_metadata.xml,Point Reyes National Seashore,2005/10/25 00:00:00+00,CA,PW,234493,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239938,Point Reyes,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:32.413+00,RJohnson@nps.gov_nps,469817811.789063,206245.489428581,c0ff871c-3658-4088-afd8-a120213170dc
20,FOSU,Lands - http://landsnet.nps.gov/tractsnet/documents/FOSU/Metadata/fosu_metadata.xml,Fort Sumter and Fort Moultrie National Historical Park,2005/11/03 00:00:00+00,SC,SE,1222505,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047964,Fort Sumter and Fort Moultrie,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2021/01/10 21:53:55.950+00,RJohnson@nps.gov_nps,1332680.45117188,9818.55309615149,a3cee74e-64f7-445a-b538-a7fef058ef55
