OBJECTID,UNIT_CODE,UNIT_NAME,STATE,REGION,GNIS_ID,UNIT_TYPE,PARKNAME,,Shape__Area,Shape__Length
41,DRTO,Dry Tortugas National Park,FL,SE,307632,National Park,Dry Tortugas,,322682120,69744.0118
44,BRCA,Bryce Canyon National Park,UT,IM,1450197,National Park,Bryce Canyon,,232305571,127086.207
47,YELL,Yellowstone National Park,WY,IM,1609331,National Park,Yellowstone,,17557000000,674249.707
57,SEQU,Sequoia National Park,CA,PW,266000,National Park,Sequoia,,2553244942,320822.95
64,MACA,Mammoth Cave National Park,KY,SE,507318,National Park,Mammoth Cave,,330311828,146274.991
70,GRBA,Great Basin National Park,NV,PW,862430,National Park,Great Basin,,515901036,132859.999
81,CANY,Canyonlands National Park,UT,IM,1448008,National Park,Canyonlands,,2196490657,353937.358
100,BISC,Biscayne National Park,FL,SE,294450,National Park,Biscayne,,867063857,143915.163
103,GUMO,Guadalupe Mountains National Park,TX,IM,1377201,National Park,Guadalupe Mountains,,491447398,134372.172
110,JEFF,Gateway Arch National Park,MO,MW,765817,National Park,Gateway Arch,,1290994.13,9270.23052
129,KICA,Kings Canyon National Park,CA,PW,255948,National Park,Kings Canyon,,2909305718,393124.544
152,CARE,Capitol Reef National Park,UT,IM,1434866,National Park,Capitol Reef,,1605718361,405763.198
167,PINN,Pinnacles National Park,CA,PW,247533,National Park,Pinnacles,,167545647,95099.5602
193,LAVO,Lassen Volcanic National Park,CA,PW,262325,National Park,Lassen Volcanic,,753097654,149637.528
205,MORA,Mount Rainier National Park,WA,PW,1528416,National Park,Mount Rainier,,2045641242,217660.013
214,YOSE,Yosemite National Park,CA,PW,255923,National Park,Yosemite,,4849245259,379891.898
222,WICA,Wind Cave National Park,SD,MW,1263056,National Park,Wind Cave,,261727427,90671.8054
231,NOCA,North Cascades National Park,WA,PW,1528421,National Park,North Cascades,,4656124607,535900.277
233,NPSA,National Park of American Samoa,AS,PW,1966567,National Park,National Park of American Samoa,,48283336.7,73521.0963
234,VOYA,Voyageurs National Park,MN,MW,660491,National Park,Voyageurs,,1884045708,383313.928
236,CONG,Congaree National Park,SC,SE,2035095,National Park,Congaree,,155132048,114498.44
240,HALE,Haleakala National Park,HI,PW,358382,National Park,Haleakala,,156331032,101519.593
246,CAVE,Carlsbad Caverns National Park,NM,IM,904780,National Park,Carlsbad Caverns,,264914338,116427.047
248,ZION,Zion National Park,UT,IM,1455157,National Park,Zion,,952718698,206587.714
256,THRO,Theodore Roosevelt National Park,ND,MW,1033824,National Park,Theodore Roosevelt,,616847538,187232.144
